cell_set_accession	cell_label	Add_to_CL
CS20230722_SUPT_0006	0006 IT EP-CLA Glut_4	
CS20230722_SUPT_0007	0007 L5/6 IT TPE-ENT Glut_1	
CS20230722_SUPT_0008	0008 L5/6 IT TPE-ENT Glut_2	
CS20230722_SUPT_0009	0009 L5/6 IT TPE-ENT Glut_3	
CS20230722_SUPT_0010	0010 L5/6 IT TPE-ENT Glut_4	
CS20230722_SUPT_0011	0011 L5/6 IT TPE-ENT Glut_5	
CS20230722_SUPT_0012	0012 L5/6 IT TPE-ENT Glut_6	
CS20230722_SUPT_0013	0013 L6 IT CTX Glut_1	
CS20230722_SUPT_0014	0014 L6 IT CTX Glut_2	
CS20230722_SUPT_0015	0015 L6 IT CTX Glut_3	
CS20230722_SUPT_0016	0016 L6 IT CTX Glut_4	
CS20230722_SUPT_0017	0017 L6 IT CTX Glut_5	
CS20230722_SUPT_0018	0018 L5 IT CTX Glut_1	
CS20230722_SUPT_0019	0019 L5 IT CTX Glut_2	
CS20230722_SUPT_0020	0020 L5 IT CTX Glut_3	
CS20230722_SUPT_0021	0021 L5 IT CTX Glut_4	
CS20230722_SUPT_0022	0022 L5 IT CTX Glut_5	
CS20230722_SUPT_0023	0023 L4/5 IT CTX Glut_1	
CS20230722_SUPT_0024	0024 L4/5 IT CTX Glut_2	
CS20230722_SUPT_0025	0025 L4/5 IT CTX Glut_3	
CS20230722_SUPT_0026	0026 L4/5 IT CTX Glut_4	
CS20230722_SUPT_0027	0027 L4/5 IT CTX Glut_5	
CS20230722_SUPT_0028	0028 L4/5 IT CTX Glut_6	
CS20230722_SUPT_0029	0029 L2/3 IT CTX Glut_1	
CS20230722_SUPT_0030	0030 L2/3 IT CTX Glut_2	
CS20230722_SUPT_0031	0031 L2/3 IT CTX Glut_3	
CS20230722_SUPT_0032	0032 L2/3 IT CTX Glut_4	
CS20230722_SUPT_0033	0033 L2/3 IT ENT Glut_1	
CS20230722_SUPT_0034	0034 L2/3 IT ENT Glut_2	
CS20230722_SUPT_0035	0035 L2/3 IT ENT Glut_3	
CS20230722_SUPT_0036	0036 L2/3 IT ENT Glut_4	
CS20230722_SUPT_0037	0037 L2/3 IT ENT Glut_5	
CS20230722_SUPT_0038	0038 L2/3 IT ENT Glut_6	
CS20230722_SUPT_0039	0039 L2/3 IT PIR-ENTl Glut_1	
CS20230722_SUPT_0040	0040 L2/3 IT PIR-ENTl Glut_2	
CS20230722_SUPT_0041	0041 L2/3 IT PIR-ENTl Glut_3	
CS20230722_SUPT_0042	0042 L2/3 IT PIR-ENTl Glut_4	
CS20230722_SUPT_0043	0043 L2/3 IT PIR-ENTl Glut_5	
CS20230722_SUPT_0044	0044 L2/3 IT PIR-ENTl Glut_6	
CS20230722_SUPT_0045	0045 L2/3 IT PIR-ENTl Glut_7	
CS20230722_SUPT_0046	0046 IT AON-TT-DP Glut_1	
CS20230722_SUPT_0047	0047 IT AON-TT-DP Glut_2	
CS20230722_SUPT_0048	0048 IT AON-TT-DP Glut_3	
CS20230722_SUPT_0049	0049 IT AON-TT-DP Glut_4	
CS20230722_SUPT_0050	0050 IT AON-TT-DP Glut_5	
CS20230722_SUPT_0051	0051 L2 IT ENT-po Glut_1	
CS20230722_SUPT_0052	0052 L2 IT ENT-po Glut_2	
CS20230722_SUPT_0053	0053 L2 IT ENT-po Glut_3	
CS20230722_SUPT_0054	0054 L2 IT ENT-po Glut_4	
CS20230722_SUPT_0055	0055 MEA Slc17a7 Glut_1	
CS20230722_SUPT_0056	0056 MEA Slc17a7 Glut_2	
CS20230722_SUPT_0057	0057 MEA Slc17a7 Glut_3	
CS20230722_SUPT_0058	0058 COAp Grxcr2 Glut_1	
CS20230722_SUPT_0059	0059 COAp Grxcr2 Glut_2	
